wallet,solana_amount,reward_sent,snapshot_date,date_sent
FqhjKgAtTtCxuct34cudtDtapQ4yA4MKJK3F6dw2hkRb,0.242973585,YES,6/27/2025,7/4/2025
Go7x6X5FNHSStcENck3Xb6uMdSytvNRSXC1Hs3Nn5ciq,0.241763933,YES,6/27/2025,7/4/2025
8WQiJpW1UVphXjo7CaowUBoRfHvMSAoMUn1BVFGpwW3p,0.241718355,YES,6/27/2025,7/4/2025
3BpBBxuApuuZWS7JgserMpJ6rC6ZuYRUpVC1KJaD5CCn,0.241574679,YES,6/27/2025,7/4/2025
4PmurVBxHmSaW7dGAJtGmtaoRdNJLBiygHbBbTzN9zwN,0.240679246,YES,6/27/2025,7/4/2025
35jJa4wkew1aL9Gx6RvXHPjKS4oTCCGARXdQo74zM3As,0.239182406,YES,6/27/2025,7/4/2025
FMiEMN8GbWd7zRVg88K5gQC95gXR9xCdQQtxzesupEiZ,0.238954374,YES,6/27/2025,7/4/2025
GMc3rq44afbZydJv9pdqSRKFYevSKRZHgRGNYfCuuNaw,0.238455702,YES,6/27/2025,7/4/2025
7vjMbbKwGAdEE1p1vdQ32Uo9WXX6K6TY17ua9mFTf8U8,0.238416634,YES,6/27/2025,7/4/2025
4bs2r5MA7yvqAvcyQBxvWVScXeh8hN4cdmxVVjMwFehF,0.238372254,YES,6/27/2025,7/4/2025
8FazercQMPHH7LPeFgQ4z1g1uim2zQxMUEja4KQbp1xG,0.238356787,YES,6/27/2025,7/4/2025
E3zocpdAG5rwzfVoqNBKaiQM87ntTfgjceYsnVg7cio5,0.238180603,YES,6/27/2025,7/4/2025
4gJWYTc7ujAhQGMaALwY85QwmxVLA6Ggd3h6MBNLDebE,0.238164483,YES,6/27/2025,7/4/2025
4uyNziUVsBNwjdypdaS315Le6JD39bTgTspNUwMhEkpz,0.237444756,YES,6/27/2025,7/4/2025
3k2ydgzHH8zgN1AtT4g5Q2FDuWwkLr5QjZ4y1SwTzA8R,0.236364043,YES,6/27/2025,7/4/2025
4QdU5GhtbTL458hT1YTdTRm8Zgb4vzcZNxEq4F7QnvmT,0.23495468,YES,6/27/2025,7/4/2025
32PwzbazNHCWN4CSrYAwuyLbkVajSDaRQCVPXmotMV8s,0.234933086,YES,6/27/2025,7/4/2025
HDWrNKTwYgWmNhaKHcULazrpXyn2QH4Zm72Af5ziBVQq,0.234638363,YES,6/27/2025,7/4/2025
D2ZhLZjpThUzmvgvTANJpDPyZiDdKBq2w6pgN8VR6NNY,0.233102191,YES,6/27/2025,7/4/2025
69fCCmCxX5EqiihKdABzu1jtXAJ6HcXQ889RRYE6f9pp,0.231999726,YES,6/27/2025,7/4/2025
8vE6NTXwERgEF9aKq4TXphQdZEisWmFKPa4mEJdDjWUU,0.231243181,YES,6/27/2025,7/4/2025
ERxYnknCsixuHYqT3CgWYjUgD5AjpywtqYQq6C4f7uPH,0.23005868,YES,6/27/2025,7/4/2025
DCWa7phG3tdx8d3JAQaVWF1CHFMY2jagxzLrJeiZZ1sT,0.22651179,YES,6/27/2025,7/4/2025
3xhjnSXhW4RbCWYpNcHrYQ7sNdrQmikk4WZdkBaALhrx,0.225786713,YES,6/27/2025,7/4/2025
G7aYYDhWuFTk5E1NWdqSz8c2vfk3s3LuHk7BqK8z8tRg,0.225632058,YES,6/27/2025,7/4/2025
6vPLQSv1zBoMxw5tWddu7uoq22swzBiJqLVXvMfTnm1z,0.224945169,YES,6/27/2025,7/4/2025
FCsVYa32jxhEEmYJjcWJKFgWtVjst4ULhBGaq6PtYbF5,0.224420852,YES,6/27/2025,7/4/2025
BaidK8nenekN8smPwmvVURz7i2Dz2B5JJXwmXgukUp7b,0.224320496,YES,6/27/2025,7/4/2025
F5GcZpCv8diy3BWEzqz21PTR6FmgeY4u8UmUN1Ezorpe,0.220746653,YES,6/27/2025,7/4/2025
FBFsvXsV8c4GAQxquyTddrECHdxtqzvCguwWSYcJHySr,0.219873069,YES,6/27/2025,7/4/2025
AzSoGHm3A7LJowc16AdDTtg8KSSowBATcrreg5zGrD4y,0.218685339,YES,6/27/2025,7/4/2025
3hGNjbRhPJyU9Td4BC9xBd4mYzMNKPFgVMCuLaEpN7C5,0.218336457,YES,6/27/2025,7/4/2025
CMVSYQihiUEzGRY73shknmJqKG2wX3WKWSXJvyXn12TX,0.216856411,YES,6/27/2025,7/4/2025
34RkGeShruhUWvWtQJ9sGuvERNEfMVFqFJbJwkGb6qJy,0.21599703,YES,6/27/2025,7/4/2025
9b8PMwSd28RR4tXftpsnJfceAcCWRTZcNhARqxYLmWVD,0.215157578,YES,6/27/2025,7/4/2025
G4GM1WyV8PCVSip1waDtNdUMaXXKkRTThQLh91rNvtCT,0.214534175,YES,6/27/2025,7/4/2025
HCnMqsfsxcJbhnE24Y8q4ZEn1b6JjPqEdzQzvxi2r1K7,0.213047868,YES,6/27/2025,7/4/2025
4XvKwKW5rDL7vh7b9wbZ8ydLJ7yc75stsLFVB6Qa973S,0.21272746,YES,6/27/2025,7/4/2025
J7BNbvqjeGrzAnBk126opBGJpsvbXKvyqgJbu7L1vz8P,0.212585658,YES,6/27/2025,7/4/2025
23fNBhuhsATssbWLf7v1cRS1XvGgQXoLyCZqTt6nbkoX,0.211931603,YES,6/27/2025,7/4/2025
DfyagmH2ppWpymqaxEEVNCVorT8nR9A2bF7FkAcjHvw7,0.211505947,YES,6/27/2025,7/4/2025
Gjv4aFTLGcbNp4oVNYcUtbq25fcAv7cKhys8Wsv1Dg6x,0.209292748,YES,6/27/2025,7/4/2025
27ymqtLaZuA3ByaSJJopVmJjZ8ytg1cXdCu8zztMUkmF,0.207104332,YES,6/27/2025,7/4/2025
D26G4yEUEXbnAWGRQJ7pxsmgS6Gj6MJMd9RPxK7TGywW,0.205904962,YES,6/27/2025,7/4/2025
4xjLcsShTFDofv2W8ibhUVy1dpEz6CNxLobF81YU5QHT,0.205559738,YES,6/27/2025,7/4/2025
9LjHnr8C1x75peFf9tMZdXR14rFx1dp1HNkakmSohmTs,0.204914756,YES,6/27/2025,7/4/2025
EprF7GnwYqvem96eXz5hLV1ChNhQ1uoYDtrZaBiqc975,0.204848604,YES,6/27/2025,7/4/2025
8EP2Mn7WvaUXV7bqsPdMoaCqNBGADYDVEX7jxv2Dyvjq,0.204678251,YES,6/27/2025,7/4/2025
4zbvN4UqrsuztjLPFpTv2hPJt7DKokQyVUY4an34gGYm,0.203559164,YES,6/27/2025,7/4/2025
3F5j7WNcVYpEp7eFz6nZYLcUiEpm9Rq7srSa2wTwyvDx,0.203545985,YES,6/27/2025,7/4/2025
4SNi8XeSFaakdnKZ5GgQut6QPpBpAzKjR8SJL6fWChRN,0.202341147,YES,6/27/2025,7/4/2025
DVGvBqyL2J28LjJLXuv76vtkH3CpUkApKCZbXiDmyedH,0.201715604,YES,6/27/2025,7/4/2025
